country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Euro area,EMU,20165.88963,20432.60259,22109.17431,27134.80143,30949.12854,31936.31555,33767.00076,38666.7714,42177.6397,38422.45231,37561.06509,40599.57765,37589.04517,39100.92794,39854.42162,34367.1012,35137.75436,37045.47826,39997.55475,39042.50497,37712.12083
Eritrea,ERI,308.1341868,316.8239534,293.9556724,334.5855715,407.769077,388.5959475,415.0360305,439.8321034,450.6323989,595.1099872,501.355317,642.5082588,,,,,,,,,
Spain,ESP,14713.06571,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28100.58624,30374.52104,29564.7449,27057.16352
Estonia,EST,4075.970639,4509.178202,5344.877935,7206.166562,8912.992195,10406.39669,12631.56805,16741.93923,18227.11953,14794.9711,14784.38466,17624.04456,17534.42135,19174.10033,20367.10316,17522.23019,18437.25282,20407.92738,23159.39249,23717.79945,23312.27633
Ethiopia,ETH,124.4607909,120.7657837,111.9272251,119.490396,136.46625,162.4327286,194.6874329,244.2860523,326.4368228,380.5690032,341.5541227,354.4795719,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.3404611
European Union,EUU,16909.91612,17185.04669,18682.11884,22922.69403,26263.88241,27333.20322,29070.01005,33551.40893,36913.83511,33361.83193,32934.03875,35709.53074,33150.83222,34560.52273,35239.1751,30466.8095,31164.59504,33008.50414,35703.68953,34960.01562,33927.7189
Fragile and conflict affected situations,FCS,767.2827898,724.6896916,682.3933048,684.6073916,844.2524781,1035.664087,1264.963747,1524.630781,1918.46386,1777.533821,2067.712299,2047.254698,2298.502511,2362.401197,2504.444544,2167.407843,1928.978592,1929.877239,2021.725791,2107.423824,1864.57941
Finland,FIN,24285.46682,24946.18919,26869.6749,32855.13263,37702.84538,39040.28888,41188.0937,48414.84509,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46297.49635,50013.2942,48711.56421,49041.34226
Fiji,FJI,2069.317455,2030.246351,2248.714191,2818.91392,3311.159895,3627.632856,3715.932657,4040.152119,4167.694935,3362.820495,3652.535933,4371.447385,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.437799,6175.874841,4881.526069
France,FRA,22364.02939,22433.55498,24177.33556,29568.3888,33741.26192,34760.18502,36443.62631,41508.43269,45334.11796,41575.42196,40638.33525,43790.72602,40874.70039,42592.93539,43011.2631,36638.18493,37037.37419,38685.25849,41526.41466,40380.09877,38625.06738
Faroe Islands,FRO,22651.86198,24418.70328,26731.65857,31493.31915,35467.17547,36198.54377,41521.67506,47885.69888,50863.95379,47441.91598,48541.40119,52092.60338,49459.71723,54843.31929,59433.83457,52400.29728,56854.10265,59993.09063,62918.14619,64225.2649,
"Micronesia, Fed. Sts.",FSM,2171.889577,2248.492115,2265.944108,2295.868178,2253.113745,2358.1467,2406.114412,2458.658394,2541.261625,2721.97609,2885.305492,3009.256825,3131.386715,2994.792394,2971.512602,2906.617012,3014.700358,3289.642117,3568.291016,3585.423202,
Gabon,GAB,4135.99238,3993.031336,4141.434366,4933.46217,5739.613204,6891.36192,7221.369877,8458.309179,10254.17196,7721.018953,8849.322608,10809.68495,9813.505747,9683.58162,9663.42411,7384.700704,6984.419712,7230.434912,7956.627816,7767.016979,7005.879097
United Kingdom,GBR,28156.26741,27717.62581,29982.6187,34383.94796,40208.85608,41932.87736,44472.57423,50444.93015,47267.01218,38736.9022,39536.77268,42047.61425,42449.10767,43401.31053,47452.19914,45039.23595,41048.34966,40304.72308,42992.80372,42354.41465,40284.63846
Georgia,GEO,749.908535,801.9904139,853.5164537,1010.00798,1305.047486,1642.760938,1996.057129,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.787783,4697.983652,4278.860771
Ghana,GHA,258.4710399,269.0149848,304.564636,367.8213621,417.5080667,492.5440562,913.3938493,1081.166318,1217.064435,1077.662058,1299.345212,1549.462719,1587.560932,2361.090324,1899.668336,1705.575082,1913.473536,2020.68179,2194.232477,2210.355923,2328.534642
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,363.4822793,336.1540207,343.6026312,393.7396899,407.3009759,322.41554,453.4037133,659.992931,715.0965267,674.0854826,672.4249304,651.1361134,717.0505359,769.0031667,787.2385644,769.2554754,732.2915119,855.5752706,955.1112811,1058.143368,1194.037865
"Gambia, The",GMB,594.1493885,505.4216361,411.7718939,335.906217,642.7562183,665.7202157,662.3628772,780.3810509,924.5098746,833.2813604,860.6364339,762.7631177,742.7776286,700.5160422,607.4299047,660.7235712,690.7804932,679.7550717,732.7207273,777.8152452,787.0064509
Guinea-Bissau,GNB,308.9103184,319.9574494,333.0585793,372.0561949,405.0751184,436.4752202,430.0039403,493.7219932,599.9952372,559.4145709,558.1746681,703.6605673,616.375664,634.6620391,623.3130914,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717
Equatorial Guinea,GNQ,1725.557584,2313.165937,2744.191483,3618.544476,6152.131238,10963.40638,12857.36882,15908.41119,22942.6101,16668.1217,17288.8426,21641.6939,21711.15159,20390.73727,19394.08066,11283.39805,9250.316493,9667.857801,10005.61679,8419.933336,7143.238705
Greece,GRC,12042.95371,12538.17887,14110.31337,18477.57836,21955.10414,22551.73577,24801.15778,28827.32639,31997.28202,29710.97023,26690.60742,25450.53412,21915.19132,21749.15248,21601.7764,18050.09761,17885.39281,18562.22943,19765.99645,19150.7862,17676.19248
Grenada,GRD,5056.977259,5041.012235,5213.795649,5682.705378,5741.653658,6645.985549,6658.223586,7212.986819,7832.349081,7290.834938,7258.166561,7291.74167,7444.089075,7789.632355,8370.040472,9096.538652,9628.172843,10152.83281,10486.37759,10815.91136,9680.175825
Greenland,GRL,19004.10729,19275.47334,20652.87833,27459.76278,32023.45221,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50321.36875,54470.95639,,
Guatemala,GTM,1664.298958,1550.360366,1682.994501,1737.879287,1859.098363,2068.500129,2251.087963,2490.749127,2802.461962,2651.817123,2852.547327,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617
Guam,GUM,,,21594.03969,22628.27869,24472.78202,26596.21479,26713.05839,27680.54996,29288.78186,30320.53859,31040.0843,31210.47029,32908.30677,33656.45357,34843.20557,35829.25036,36214.00692,36601.91988,36502.38282,37723.78134,
Guyana,GUY,954.4003181,955.6653806,974.9491933,997.2113729,1056.423886,1105.506825,3188.67316,3658.476971,4050.788213,4233.76442,4580.699136,4908.567014,5378.81197,5489.142758,5407.153711,5576.82607,5811.397924,6124.95367,6145.818743,6609.510431,6955.939217
High income,HIC,25685.89458,25277.36371,26167.97297,29147.40136,32222.74178,33845.25162,35478.27687,38494.40014,40574.13886,37776.77658,39341.13236,42258.0471,42057.99465,42321.54871,42995.26562,40398.44866,41013.34128,42658.20723,45114.36039,45297.71787,43833.93156
"Hong Kong SAR, China",HKG,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48542.68187,48354.47337,46323.86344
Honduras,HND,1093.1081,1133.186372,1134.064445,1158.178083,1217.818021,1308.09197,1430.057614,1583.047451,1739.353377,1789.705553,1904.347152,2088.315547,2144.342363,2102.592449,2206.054397,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848
Heavily indebted poor countries (HIPC),HPC,359.3822582,334.1538451,348.8507849,384.1144683,428.4145105,475.339761,548.3366,636.997799,748.4684432,738.8307773,797.2101201,852.3707875,872.437832,945.0036949,970.9121683,927.1244575,909.5132254,944.4637175,979.8899885,984.8189428,973.2718546
Croatia,HRV,4841.606375,5362.022897,6232.655595,8059.420173,9661.169574,10527.89268,11695.94466,13937.44839,16296.80592,14540.6416,13949.3265,14609.52435,13258.35985,13674.4178,13599.40978,11781.73479,12361.48383,13451.62495,15014.08502,14944.35622,13828.4695
